'H','X20180228RPOS36701A','02/28/2018 12:03','AR','ITEM_XREF',174
'X','X20180228RPOS36701A','02/28/2018 12:03','190696586824',2,'0000000000001114020043'
'X','X20180228RPOS36701A','02/28/2018 12:03','190696586848',2,'0000000000001114020044'
'X','X20180228RPOS36701A','02/28/2018 12:03','190696586862',2,'0000000000001114020045'
'X','X20180228RPOS36701A','02/28/2018 12:03','190696586886',2,'0000000000001114020046'
'X','X20180228RPOS36701A','02/28/2018 12:03','190696586893',2,'0000000000001114020047'
'X','X20180228RPOS36701A','02/28/2018 12:03','190696586909',2,'0000000000001114020048'
'X','X20180228RPOS36701A','02/28/2018 12:03','638170383267',2,'0000000000001141850001'
'X','X20180228RPOS36701A','02/28/2018 12:03','638170383274',2,'0000000000001141850002'
'X','X20180228RPOS36701A','02/28/2018 12:03','638170383281',2,'0000000000001141850003'
'X','X20180228RPOS36701A','02/28/2018 12:03','638170383298',2,'0000000000001141850004'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543913308',2,'0000000000001192260001'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543913469',2,'0000000000001192260002'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543913643',2,'0000000000001192260003'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543913803',2,'0000000000001192260004'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543913964',2,'0000000000001192260005'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543914374',2,'0000000000001192260006'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543914473',2,'0000000000001192260007'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543914572',2,'0000000000001192260008'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543914657',2,'0000000000001192260009'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543914688',2,'0000000000001192260010'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543913407',2,'0000000000001192260011'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543913575',2,'0000000000001192260012'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543913735',2,'0000000000001192260013'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543913896',2,'0000000000001192260014'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543914053',2,'0000000000001192260015'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543914237',2,'0000000000001192260016'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543914299',2,'0000000000001192260017'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543914381',2,'0000000000001192260018'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543914480',2,'0000000000001192260019'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543914589',2,'0000000000001192260020'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543914312',2,'0000000000001192260021'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543914404',2,'0000000000001192260022'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543914503',2,'0000000000001192260023'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543914602',2,'0000000000001192260024'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543914664',2,'0000000000001192260025'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910116',2,'0000000000001194000001'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910130',2,'0000000000001194000002'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910154',2,'0000000000001194000003'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910178',2,'0000000000001194000004'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910192',2,'0000000000001194000005'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910277',2,'0000000000001194000006'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910352',2,'0000000000001194000007'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910437',2,'0000000000001194000008'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910512',2,'0000000000001194000009'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910574',2,'0000000000001194000010'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910222',2,'0000000000001194000011'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910260',2,'0000000000001194000012'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910338',2,'0000000000001194000013'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910413',2,'0000000000001194000014'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910499',2,'0000000000001194000015'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910307',2,'0000000000001194000016'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910383',2,'0000000000001194000017'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910468',2,'0000000000001194000018'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910543',2,'0000000000001194000019'
'X','X20180228RPOS36701A','02/28/2018 12:03','190543910598',2,'0000000000001194000020'
'X','X20180228RPOS36701A','02/28/2018 12:03','411991700013',2,'0000000000001199170001'
'X','X20180228RPOS36701A','02/28/2018 12:03','411991700020',2,'0000000000001199170002'
'X','X20180228RPOS36701A','02/28/2018 12:03','411991700037',2,'0000000000001199170003'
'X','X20180228RPOS36701A','02/28/2018 12:03','411991700044',2,'0000000000001199170004'
'X','X20180228RPOS36701A','02/28/2018 12:03','411991700051',2,'0000000000001199170005'
'X','X20180228RPOS36701A','02/28/2018 12:03','412392300024',2,'0000000000001239230002'
'X','X20180228RPOS36701A','02/28/2018 12:03','412392300031',2,'0000000000001239230003'
'X','X20180228RPOS36701A','02/28/2018 12:03','412392400014',2,'0000000000001239240001'
'X','X20180228RPOS36701A','02/28/2018 12:03','412392400021',2,'0000000000001239240002'
'X','X20180228RPOS36701A','02/28/2018 12:03','753759209872',2,'0000000000001401090001'
'X','X20180228RPOS36701A','02/28/2018 12:03','753759186265',2,'0000000000001401100001'
'X','X20180228RPOS36701A','02/28/2018 12:03','414011400016',2,'0000000000001401140001'
'X','X20180228RPOS36701A','02/28/2018 12:03','414011400023',2,'0000000000001401140002'
'X','X20180228RPOS36701A','02/28/2018 12:03','414011400030',2,'0000000000001401140003'
'X','X20180228RPOS36701A','02/28/2018 12:03','414011400047',2,'0000000000001401140004'
'X','X20180228RPOS36701A','02/28/2018 12:03','414011400054',2,'0000000000001401140005'
